no	kiji	title	vol	hizuke	url
1	○特集01「健康は自分ゴト」	広報みのかも	1072	2022-10-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202210_見開き（修正）.pdf
2	 ○特集02「次世代へつなぐ平和への思い」	広報みのかも	1072	2022-10-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202210_見開き（修正）.pdf
3	○特集「健康・スポーツポイント事業」 	広報みのかも	1071	2022-09-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202209_見開き.pdf
4	○特集「本と一緒に挑む夏。」 	広報みのかも	1070	2022-08-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202208_見開き.pdf
5	○特集「FMらら　76.8MHｚ」 	広報みのかも	1069	2022-07-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202207_見開き.pdf
6	○特集01「第19回　坪内逍遙大賞」	広報みのかも	1068	2022-06-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202206_見開き.pdf
7	 ○特集02「みんなが心地よく暮らせるまち」	広報みのかも	1068	2022-06-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202206_見開き.pdf
8	○特集「若者未来創造部。」 	広報みのかも	1067	2022-05-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202205_見開き.pdf
9	○特集「令和4年度予算」    	広報みのかも	1066	2022-04-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202204_見開き.pdf
10	○特集「鎌倉殿と美濃加茂」	広報みのかも	1065	2022-03-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202203_見開き.pdf
11	○特集「SDGｓ未来都市みのかも」	広報みのかも	1064	2022-02-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202202_見開き.pdf
12	○特集01「姉妹都市交流」	広報みのかも	1063	2022-01-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202201_見開き1.pdf
13	 ○特集02「税の申告」	広報みのかも	1063	2022-01-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202201_見開き1.pdf
14	○特集「メディカルシティ」	広報みのかも	1062	2021-12-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202112_見開き.pdf
15	○特集01「自分らしく生きる。」	広報みのかも	1061	2121-11-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202111_見開き.pdf
16	 ○特集02「令和2年度 決算報告」	広報みのかも	1061	2121-11-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202111_見開き.pdf
17	○特集01「みんなでつくる ほいくえん」	広報みのかも	1060	2021-10-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202110_見開き.pdf
18	 ○特集02「そうだ 図書館へ行こう」	広報みのかも	1060	2021-10-10	https://www.city.minokamo.gifu.jp/temp2/hp/125/20210326115109/202110_見開き.pdf
