ymd	title1	title2	kiji1	kiji2	cls	kw
20171231	中日		振り返る２０１７	１２月１３日　美濃加茂市長が辞職	その他	
20171230	岐阜		県内初詣ガイド　中濃	小山観音	その他	
20171230	中日		振り返る２０１７	５月１４日　美濃加茂市長選で上告中の藤井浩人氏が無投票で３選	その他	
20171230	中日		初参り案内　中濃地区	古井の天狗山　小山観音　古井神社	その他	
20171229	中日		市長ら職員ねぎらう　中濃３市で仕事納め式	美濃加茂市　伊藤誠一副市長	行政・政治	
20171229	岐阜		堂上蜂屋柿のＧＩ（地理的表示保護制度）登録報告	生産者、柿を手渡す	その他	
20171229	岐阜		仕事納め式　市長訓示	伊藤誠一美濃加茂市副市長（職務代理者）	行政・政治	
20171229	中日		中部９県　2017年３大ニュース	岐阜　②美濃加茂市の藤井浩人市長が最高裁の上告棄却を受け辞職	その他	
20171229	中日		はち里コロッケ　「はちや豚」Ｘサトイモ	美濃加茂商議所　７日・昭和村ハーフでテスト販売	その他	
20171229	中日		お楽しみガイド中濃地区	アピタ美濃加茂店	その他	
20171228	岐阜		美濃加茂汚職　藤井前市長　有罪確定	最高裁が異議退ける	事件・事故	
20171228	岐阜		美濃加茂の建物火災、被害最小限　可茂消防組合が感謝状	市職員2人、初期消火渡辺智宏さん、古田純希さん	ひと	
20171228	中日		火災消火で感謝状	可茂消防　渡辺智宏さん、古田純希さんに	ひと	
20171228	中日		有罪確定に落胆、淡々	美濃加茂汚職　藤井氏支援者ら	事件・事故	
20171228	中日		年末年始の窓口案内	美濃加茂市	行政・政治	
20171228	日経		前美濃加茂市長　汚職の有罪確定		事件・事故	
20171228	中日		前美濃加茂市長　有罪確定		事件・事故	
20171228	岐阜		仕事と家庭両立　企業の方針大切	美濃加茂「さわやかナーシングビラ」で講演会	行事	
20171228	中日		中濃４署の1年　中嶋関署長に聞く		行政・政治	
20171227	中日		記者ノートから中濃回顧２０１７	④美濃加茂市「カミーノ」	その他	
20171227	中日		美濃加茂市十大ニュース	市長辞職や光秀の書状	その他	
20171227	中日		美濃加茂の食をイラストに	武蔵野美大生がロゴなど考案	その他	
20171227	中日		小学生2人が車にはねられる		事件・事故	
20171227	岐阜		地方公務員給与水準「ラスパイレス指数」	美濃加茂市　95.0　昨年比＋1.0	行政・政治	
20171227	岐阜		児童の列に車が突入、2人軽傷		事件・事故	
20171227	中日		くらしの作文　米寿の同窓会を夢見て	片山慎さん（美濃加茂市）	ひと	
20171227	岐阜		2017年　県内十大ニュース	①美濃加茂市長の上告棄却　動揺、疑念、継続	その他	
20171227	岐阜		17年十大ニュース　美濃加茂市が発表	市長辞職など１０項目	その他	
20171226	岐阜		美濃加茂市　西体育館が起工	19年開館へ　工事の安全祈願	行政・政治	
20171226	中日	夕刊	横断２児童はねられる	美濃加茂の交差点、病院搬送	事件・事故	
20171226	中日		木村愛果（まなか）さん初の全国へ	ピアノ　美濃加茂・東中2年	ひと	
20171226	中日		全国高校選手権　バスケットボール	男子2回戦　美濃加茂６１－秋田工６６	行事	
20171226	岐阜		全国高校バスケ	美濃加茂、５点届かず　男子2回戦敗退	行事	
20171225	岐阜		全国高校バスケ	美濃加茂　男子　初戦突破	行事	
20171225	岐阜		伊藤副市長は来月12日退職	美濃加茂市長選出馬	事件・事故	
20171225	岐阜		いま学校で　NIEアドバイザー通信	細江隆一美濃加茂市立西中教諭	ひと	
20171224	中日		来月12日　副市長退職	伊藤氏、市長選に出馬へ	事件・事故	
20171224	中日		全国高校バスケ	美濃加茂高校	行事	
20171223	岐阜		自衛隊ＰＲポスターコンクール	中学校銀賞：松下心結さん（美濃加茂市西中３）	ひと	
20171223	日経		東海環状道の整備加速　18年度予算案	西回りの大半　開通へメド	行政・政治	
20171223	中日		東日本大震災義援金	まんまるフェスタ実行委員会	その他	
20171223	岐阜		きょうからパロル展示	太田宿中山道会館	行事	
20171222	岐阜		ＪＲ高山線で燃料漏れ		事件・事故	
20171222	岐阜		風景美、絵画で表現　洋画家羽木さん	可児市で教室作品展	ひと	
20171222	岐阜		議会短信	美濃加茂市議会閉会	行政・政治	
20171222	中日		議会だより		行政・政治	
20171222	中日		自衛隊ＰＲポスター審査	中学の部銀賞：松下心結さん（美濃加茂市西中）	ひと	
20171222	中日		美濃加茂市長選　伊藤氏出馬	「前市長の種　大きく」	事件・事故	
20171222	中日		美濃加茂少年少女合唱団	クリスマスチャリティコンサート	行事	市文化会館
20171222	日経		美濃加茂副市長が出馬表明	来月の市長選	事件・事故	
20171222	岐阜		歳末助け合い募金	健寿連合会	その他	
20171222	中日		新酒披露	御代桜醸造	ビジネス	
20171222	岐阜		全国ダンスコンテスト出場	美濃加茂のチーム意欲	ひと	
20171222	中日		元旦登山	米田白山	行事	
20171222	岐阜		伊藤副市長が出馬表明	美濃加茂市長選	事件・事故	
20171222	中日		伊藤副市長　無所属出馬	美濃加茂市長選　「藤井氏の施策育てる」	事件・事故	
20171222	中日		仮設生まれ　人形の育て方	美濃加茂　東松島「おのくん」から学ぶ	行政・政治	市生涯学習センター
20171222	中日		ウインターカップあす開幕　高校バスケ県勢初3冠狙うぞ		行事	男子　美濃加茂高校
20171221	中日	夕刊	ＪＲ高山線列車で燃料の軽油漏れる	坂祝	事件・事故	
20171221	岐阜		新酒披露	御代桜醸造	ビジネス	
20171221	中日		和紙パロルで聖夜彩り　太田宿	加茂農林高生が２３日に点灯	教育	
20171221	中日		可茂特別支援学校　分身ロボで社会見学		教育	
20171221	岐阜		可茂地区中学新人・小学生卓球大会	成績	行事	
20171221	中日		伊藤氏　出馬固める	美濃加茂市長選　きょう表明	事件・事故	
20171221	中日	夕刊	伊藤副市長　出馬表明	美濃加茂市長選、無所属で	事件・事故	
20171221	中日		バレーボール小学生が熱戦　ＪＡ杯	成績	行事	
20171221	岐阜		あい愛バス　Ｘマス仕様　美濃加茂市	座席や車窓に装飾	行政・政治	
20171220	岐阜		読書推進を	美濃加茂ライオンズクラブが太田小学校に	その他	
20171220	中日		西体育館　立て替え起工式	美濃加茂　１９年４月に開館	行政・政治	
20171220	岐阜		肉牛２４頭、成育競う　関市で中濃地区共進会	雌の部優秀賞１席：天池徳男さん（美濃加茂市）	ひと	
20171220	岐阜		料理家minokamoが行く　岐阜ごはん旅	⑨脂とろける『しし肉』	その他	
20171220	中日		年末助け合いに寄託	加茂農林高校家庭部	その他	
20171220	岐阜		安藤杯中学女子ソフト大会	県内外２４チーム熱戦	行事	安藤英樹さん（美濃加茂市）
20171220	中日		女性宅に侵入した疑い	加茂署	事件・事故	
20171220	岐阜		住居侵入の疑い逮捕	加茂署	事件・事故	
20171220	中日		ダンスで初全国　高校生らが抱負	美濃加茂	ひと	
20171220	岐阜		キリン「うまい生ビール」全国投票	受賞店：備長吉兆や美濃加茂前平店	ビジネス	
20171219	岐阜		６０歳以上に仕事紹介　美濃加茂市	介護、製造９社が説明会	その他	
20171219	岐阜		１４０人、華やかステージ　美濃加茂市	ダンスとチア発表会	行事	市文化会館
20171219	岐阜		美濃加茂汚職　藤井氏、元業者を提訴へ	最高裁に異議申し立て	事件・事故	
20171219	岐阜		美濃加茂市中之島公園　山手小児童、５０本植樹	レモンたくさん実れ	教育	
20171219	中日		異議申し立て「最後の手段」	美濃加茂・藤井前市長が会見	事件・事故	
20171219	中日		九頭竜湖事件で上告		事件・事故	
20171219	岐阜		九頭竜湖事件　被告側が上告	二審無期判決を不服	事件・事故	
20171219	日経		九頭竜湖事件　弁護側が上告		事件・事故	
20171219	日経		上告棄却決定に異議	前美濃加茂市長　再審請求も検討	事件・事故	
20171219	中日		上告棄却　異議申し立て	前美濃加茂市長　贈賄元社長を提訴も	事件・事故	
20171218	中日	夕刊	贈賄元社長を損賠提訴へ	前美濃加茂市長「虚偽の供述」	事件・事故	
20171218	中日		第７回木曽川ライン杯ミニバスケ	成績	行事	
20171218	中日		第７回みのかも日本昭和村小学生駅伝大会	成績	行事	
20171218	岐阜		伊藤副市長　出馬固める	美濃加茂市長選	事件・事故	
20171217	中日		美濃加茂市長選　伊藤副市長に出馬要請	市議会　自民３会派	事件・事故	
20171217	中日		美濃加茂で身障者福祉協	小中にぞうきん１０１４枚	その他	
20171217	岐阜		旋盤やメカトロ、工業高校生コンテスト	優秀賞の皆さん	教育	国際たくみアカデミー
20171217	岐阜		伊藤副市長、出馬に意欲	美濃加茂市長選「前向き」	事件・事故	
20171216	岐阜		美濃加茂市長有罪　迷走の果て　汚職逮捕から３年半	次期市長選　自民系３会派、副市長擁立へ	事件・事故	
20171216	岐阜		第３６回中濃地区高校総体駅伝競走大会	男子１位：美濃加茂　女子１位：美濃加茂	行事	
20171216	岐阜		日欧ＥＰＡ日本産４８品EUで保護	堂上蜂屋柿、「地理的表示」登録	その他	
20171215	中日		裏切られた民意　美濃加茂市長辞職	人気者　消えぬ再登板説	事件・事故	
20171215	中日		衣類や雑貨１１０店並ぶ	美濃加茂でフリマ盛況	行事	
20171215	岐阜		藤井市長　辞職　美濃加茂市長選来月２１日告示		事件・事故	
20171215	中日		美濃加茂市長辞職　来月市長選	自民系、伊藤副市長擁立へ	事件・事故	
20171215	中日		美濃加茂市長辞職　対応に追われる職員	選挙　１年で３回、税金2700万円	事件・事故	
20171215	岐阜		美濃加茂市長有罪　迷走の果て　汚職逮捕から３年半無罪、逆転有罪、出直し戦・・・退場	振り回された市民	事件・事故	
20171215	日経		美濃加茂市長　辞職	市議会同意　来月２８日に市長選	事件・事故	
20171215	岐阜		美濃加茂市消防団高井、中宿さん喜び	論文で消防庁長官表彰	ひと	
20171215	中日		社説　美濃加茂市長　普段着の市政に戻ろう		事件・事故	
20171215	中日		一輪車のびのび演技	三和小児童が披露	教育	
20171214	岐阜		高校バスケ美濃加茂交流大会	精鋭２６チーム熱戦	行事	
20171214	岐阜		藤井市長　有罪確定へ　美濃加茂汚職	最高裁上告棄却、きょう辞職	事件・事故	
20171214	岐阜		美濃加茂汚職　有罪確定へ	無実の主張通らず　市長「悔しい」憤り	事件・事故	
20171214	中日		美濃加茂市長辞職へ　支援者ら衝撃広がる	会見励ましの言葉も	事件・事故	
20171214	中日		美濃加茂市長辞職　裏切られた民意　市政混乱　重い責任	藤井市長　辞職「最後の役目」	事件・事故	
20171214	中日		美濃加茂市長有罪確定へ	収賄事件　上告棄却　きょう辞職	事件・事故	
20171214	中日	夕刊	美濃加茂市長が辞職	１年で選挙３回　→　税金２７００万円	事件・事故	
20171214	日経		美濃加茂市長　有罪確定へ	受託収賄で上告棄却	事件・事故	
20171214	岐阜		第２９回ＭＯＡ美術館児童作品中濃地域展入賞者		ひと	
20171214	岐阜		水道管壊れ給食調理できず	市学校給食センター（蜂屋台）	行政・政治	
20171214	岐阜		市民は驚きと批判	「信じていた」「引き際悪い」	事件・事故	
20171214	中日		市民「残念」「予想通り」	遅すぎた進退判断	事件・事故	
20171214	岐阜		七宗町でレッキーマラソン	成績	行事	
20171214	岐阜		ラスクや餅を販売　中濃の授産施設	障害者が手作り	行事	アピタ美濃加茂店
20171213	中日		議会だより		行政・政治	
20171213	中日		絵本を寄贈　美濃加茂ライオンズクラブ	太田小学校へ	その他	
20171213	岐阜		日本で看護師目指す　木沢記念病院で就労	比の２人、資格取得へ	その他	
20171213	岐阜		市議会一般質問	空き家バンク　本年度中にも運用	行政・政治	
20171213	岐阜		市町村の基準宅地価格「評価替え」		行政・政治	
20171213	中日		古今伝授の里モデル撮影会　入賞者決まる	入選：佐合富春さん、藤木富明さん（美濃加茂市）　佳作：佐合正子さん（美濃加茂市）	ひと	
20171213	中日		全国ピアノ「結果残したい」　	八百津の川村さん（加茂高校３年）１５日にも披露	ひと	
20171212	中日		議会だより		行政・政治	
20171212	中日		蜂屋小　児童ら手作りリース	飯館村の子へ贈り物	教育	
20171212	岐阜		美濃加茂軟式野球連盟学童特別大会	山手スターズと加茂野レッズＶ	行事	
20171212	中日		県高校レスリング新人大会	成績	行事	
20171212	中日		強盗の疑い	県警捜査１課と加茂署	事件・事故	
20171212	中日		年末年始へ特別警戒　白バイなど１２台加茂署で出発式	交通事故防止へ反射材配り啓発	行政・政治	
20171212	岐阜		市議会一般質問	堂上蜂屋柿　ブランド価値向上	行政・政治	
20171212	中日		声援背にたすきつなぐ　関で県内の特支校駅伝	女子の部２位：可茂	教育	
20171212	中日		千畝の顕彰など県に６２項目要望	中濃県議団	行政・政治	小川恒雄団長（美濃加茂市）
20171212	岐阜		冬の業務を〝支援〟　警察官友の会中濃支部	４署に靴下寄贈	その他	
20171212	中日		中濃地区高校総体駅伝競争大会	男子１位：美濃加茂　女子１位：美濃加茂	行事	
20171210	岐阜		県高校新人レスリング	成績	行事	
20171210	中日		全国中学生人権作文　県大会表彰式	中日新聞賞：鈴木文乃さん（美濃加茂）	ひと	
20171210	岐阜		きらり中濃応援歌　蜂屋小児童、飯館村３校に贈り物	Ｘマス、復興への思い同じく	教育	
20171209	岐阜		関市から全国へ世界へ	バトントワリングなど５大会の２９人激励	ひと	
20171209	岐阜		踊りや合唱　元気よく	山手幼稚園がＸマス発表会	教育	市文化会館
20171209	中日		色鮮やかに花壇作り	福祉会館　加茂農林高生ら	教育	
20171209	岐阜		美濃加茂市議会　１５議員が登壇	１１、１２日一般質問	行政・政治	
20171209	中日		叙位叙勲	大畑宮夫氏	ひと	
20171209	岐阜		二人展	東図書館	行事	
20171209	岐阜		ハンガリーと岐阜「交流を」	駐日大使が知事面談	ひと	県ハンガリー友好協会山田實紘会長
20171208	中日		警察官友の会　靴下４００足寄贈	中濃４署に	その他	
20171208	岐阜		美濃加茂高の４部活　激励会で意欲	全国大会　健闘誓う	教育	プラザちゅうたい
20171208	中日		管理者育成セミナー	講師：中小企業診断士宇井克巳さん	行事	美濃加茂商工会館
20171208	日経		木材　大型施設に供給	セブン工業　独社製の設備導入	ビジネス	
20171208	岐阜		女性部大会、活動の成果　ＪＡめぐみの関市で発表会	大正琴や読み聞かせ	行事	
20171208	中日		中濃地域の障害者授産施設の合同販売会	アピタ美濃加茂店	行事	
20171208	中日		ナイトあまち	加茂野交流センター	行事	
20171208	中日		らぶらぶまーけっと	加茂野小学校グラウンド・ＪＡめぐみの加茂野支店駐車場	行事	
20171208	岐阜		みのかも文化の森「中山尚子が描くクリスマス」		行事	
20171208	中日		いなかぐらしの２人展		行事	東図書館
20171208	中日		「井戸畑会議」で懇談	加茂農林高生が農業者と	教育	
20171207	岐阜		人権尊重呼び掛け	美濃加茂人権委員　スーパーでチラシ配布	行政・政治	バロー美濃加茂店
20171207	岐阜		ワンダフルな旅行を	長良川鉄道　美濃太田駅に〝駅長犬〟	その他	
20171207	中日		カフェで太田宿に元気を　「和工房・花まる」田口さん	特産品活用　健康志向メニュー	ひと	
20171207	中日		おすすめの１冊コンクール　紹介文部門銅賞	「青い鳥」（重松清著）　中島有香さん（加茂農林高３年）	ひと	
20171207	中日		あめ色　堂上蜂屋柿	美濃加茂で天日干し最盛	その他	
20171207	岐阜		「堂上蜂屋柿」甘さ濃縮　天日干し最盛		その他	
20171206	中日		芋掘りで国際交流	多文化共生アグリ交流グループ	行事	
20171206	岐阜		美濃加茂軟式野球４年生学童大会	蜂屋レイズ４優勝	行事	
20171206	中日		美濃加茂　団員の中宿、高井さん　消防庁長官表彰を受賞	操法訓練中のけがを分析　論文に	ひと	
20171206	岐阜		県内ぐるりお店めぐり　和工房「花まる」（美濃加茂市）	ランチに健康食材満載	ビジネス	
20171206	中日		比から看護助手　志高く	美濃加茂　木沢記念病院が採用	その他	
20171205	中日		９０代優しい歌声　美濃加茂の「野ばら」童謡や劇		行事	東図書館
20171205	中日		第３６回伊深町自治会親善ゴルフ大会	成績	行事	
20171205	中日		加茂駅伝「みんなで気持ち高めた」　声援受けチーム一丸	成績	行事	
20171205	中日		全国控え　息ぴったり　マーチング、バトン披露	美濃加茂高	教育	プラザちゅうたい
20171205	中日		人権週間で相談窓口	美濃加茂で利用呼び掛け	行政・政治	バロー美濃加茂店
20171205	中日		九頭竜湖事件二審も無期　高裁判決	林被告　首謀者と認定	事件・事故	
20171205	日経		九頭竜湖事件　二審も無期	名古屋高裁	事件・事故	
20171204	岐阜		２０１７年度全国中学生人権作文コンテスト県大会	優秀賞：鈴木文乃さん（美濃加茂中３）	ひと	
20171204	岐阜		県社会人・クラブラグビー秋季Ｌ	４位：美濃加茂ブルータスＫＹＢ	行事	
20171204	中日		東海高校駅伝競走大会	成績	行事	
20171204	中日	夕刊	九頭竜湖遺棄二審も無期	名高裁判決　林被告首謀者と認定	事件・事故	
20171204	中日		ランナーズ女子Ｖ１５　加茂駅伝	成績	行事	
20171203	岐阜		美濃加茂高　全国大会へ心一つ	マーチング・バトン部が公演	教育	
20171203	岐阜		珠算の腕前児童が競う	関市で中濃地区大会	行事	
20171203	中日		みんなのひろば	下米田小２年　浜松　美瑚さん	ひと	
20171202	中日		選挙人名簿登録者数（１２月１日現在）		行政・政治	
20171202	中日		議会だより		行政・政治	
20171202	岐阜		美濃加茂市が１社入札停止		行政・政治	
20171202	中日		絵画や書写６４４点　小中学生作品展	みのかも文化の森	教育	「第六十三回子ども展」
20171202	岐阜		県学生ゴルフ	男子、黒田（美濃加茂高）優勝	ひと	
20171202	岐阜		県内選挙人名簿登録者数（１２月１日現在）		行政・政治	
20171202	岐阜		新岐阜県歌壇史	太田町　萬尺寺	文化	
20171202	岐阜		婚活応援フェスタ	加茂野交流センターあまちの森	行事	
20171202	岐阜		児童生徒の力作６４４点　絵画や工芸展示	「第６３回美濃加茂市子ども展」	教育	みのかも文化の森
20171202	中日		住職ら善意を集め	美濃加茂　歳末助け合い托鉢	その他	
20171202	中日		ディスク流出で入札停止６ヵ月		行政・政治	
20171201	岐阜		週刊フィッシング	日本ライン漁協管内・ニジマス釣り場	その他	
20171201	中日		美濃加茂軟式野球連盟２０１７年度学童特別大会	Ａ大会優勝：山手スターズ　Ｂ大会優勝：加茂野レッズ	行事	
20171201	岐阜		美濃加茂で１０日子育て応援講演	「へいせい義塾館高等学院可児校」	行事	市生涯学習センター
20171201	中日		生活困窮者自立支援法講演会「『ひきこもり』の中に見つけるキラメキ」	講師：県精神保健福祉センター精神科医桜庭泰さん	行事	市総合福祉会館
20171201	日経		操作しやすいロボット装置	ヤマザキマザック	ビジネス	
20171201	中日		専門外来がん患者ゲノム解析　最も効く薬選択	木沢記念病院に開設	その他	
20171201	岐阜		子育てママに憩いの場　講座やゲーム、家族で楽しむ	美濃加茂市で交流イベント	行事	Caminhomitukerumarche（カミーノミツケルマルシェ）
20171201	中日		ライフスタイル講座「サウンドヒーリングで心と体に安らぎと活力を」		行事	美濃加茂商工会館
20171201	中日		ドリームコンサート	オペラ歌手、横山奈穂さん	行事	市文化会館
20171130	岐阜		農業災害補償制度70周年記念書写全国コンクール県大会審査結果	岐阜新聞・ぎふチャン賞：山田新奈さん（山之上小６）	ひと	
20171130	中日		服集めて難民の子へ	美濃加茂　太田小6年生が1万2570枚	教育	
20171130	岐阜		川辺町の美濃加茂高マーチング部員　町長に決意	「全国大会も金賞狙う」	ひと	
20171130	岐阜		がんゲノム医療導入	木沢記念病院が中部初	その他	
20171130	中日		「白隠禅師の不思議な世界～白隠没後250年	講師：花園大国際禅学研究所顧問芳沢勝弘さん	行事	
20171129	中日		県内上場22社9月中間決算	セブン工業	ビジネス	
20171129	中日		打保さんら9人卓越技能者表彰　県職業能力大会	県知事表彰：髙木信男（美濃加茂市、金属熱処理工）	ひと	
20171128	中日		高齢者の事故防げ	加茂郡５町村　県自動車整備振興会と協定	行政・政治	
20171128	岐阜		普通会計決算・実質収支　16年度	県内全市町村で黒字	行政・政治	
20171128	中日		中濃文芸	太田ホトトギス会	文化	
20171127	岐阜		東海高校駅伝	男子：11位美濃加茂　女子：16位美濃加茂	行事	
20171127	岐阜		ほらどキウイマラソン成績		行事	
20171126	中日		朗読劇地域に披露	美濃加茂　伊深小の全校児童	教育	
20171126	中日		一足早く聖夜気分	美濃加茂でコンサート	行事	シティホテル美濃加茂
20171125	中日		鬼ごっこ160人が汗	美濃加茂　児童19チーム対抗	行事	プラザちゅうたい
20171125	岐阜		美濃加茂市議会1日開会　会期21日間	美濃加茂市、10議案提出へ	行政・政治	
20171125	岐阜		県、補正など２９議案提出へ	「平成記念公園」を「ぎふ清流里山公園」へ	行政・政治	
20171125	岐阜		画法や画材際立つ個性	日本画「楽友舎」岐阜市で展示	行事	
20171125	中日		正社員に限定合同就職面接	美濃加茂商工会議所　ハローワーク美濃加茂	ビジネス	
20171125	岐阜		印鑑証明性別欄　関市が削除方針	坂祝町や美濃加茂市も	行政・政治	
20171125	岐阜		全国中学生人権作文県大会　入賞・入選22点決まる	優秀賞：鈴木文乃さん（美濃加茂中３）	ひと	
20171125	中日		ふるさと検定実施へ	美濃加茂市補正予算案	行政・政治	
20171125	中日		30日閉園　昭和村	きょうから最後の催し遊びに来て	行事	
20171123	中日		花を植え替え国道沿い彩る	可茂建設業協会	その他	
20171123	中日		整備呼び掛け車を無料点検	美濃加茂の県自動車整備振興会美濃加茂自動車組合	その他	アピタ美濃加茂店
20171123	中日		可茂特別支援学校の文化祭始まる	「にこりん祭」	教育	
20171123	中日		全国中学生人権作文コンテスト作品紹介	中日新聞賞　鈴木文乃さん（美濃加茂中3年）	ひと	
20171123	中日		中濃文芸	太田ホトトギス会　美濃加茂こび句会	文化	
20171123	中日		テーマパーク　さようなら昭和村		行事	
20171123	中日		こころの健康支える社会を　岐阜でフェス	表彰を受けた皆さん	ひと	
20171123	中日		「税の理解者」9人に表彰状　関税務署など	表彰者のみなさん	ひと	
20171122	岐阜		美濃加茂ＲＣ創立50周年　記念式典	奉仕事業継続を誓う	行事	
20171122	岐阜		県岐阜商と美濃加茂金賞	マーチング東海・高校の部　来月、全国大会出場へ	行事	
20171122	中日		消防車の運転技術磨く	可茂消防事務組合	行政・政治	
20171122	中日	夕刊	歌の力でサルよサレ　	美濃加茂　ドローンで	行政・政治	
20171122	岐阜		地域を美しく	可茂建設業協会	その他	
20171122	中日		仏教徒平和を願う	岐阜　僧侶や市民が集い	行事	正眼寺山川宗玄老大師
20171122	岐阜		カミーノミツケルマルシェ	みのかも文化の森	行事	
20171122	岐阜		アマバンド６組熱気のステージ	美濃加茂明応保育園（加茂野町木野）で音楽フェス	行事	
20171121	中日		美濃加茂ＲＣ　50周年を祝う		行事	シティホテル美濃加茂
20171121	中日		美濃加茂津田左右吉賞表彰式	藤原まゆさん（山手小6年）、中西詩織さん（西中3年）最優秀	行事	
20171121	岐阜		美濃加茂商議所女性会と前会長	市ＰＲ活動で全国表彰	ひと	
20171121	岐阜		美濃加茂の夫刺殺に有罪	岐阜地裁判決　懲役3年、猶予5年	事件・事故	
20171121	中日		美濃加茂で置物展　紙バンドで季節彩る	クインズハウス森山	行事	
20171121	中日		献身介護実刑避ける	美濃加茂・夫殺害　地裁判決	事件・事故	
20171121	中日		中濃文芸	美濃加茂矢の会	文化	
20171120	中日		県高校剣道新人大会	成績	行事	
20171120	中日		県管設備工業協組練習用材料を寄贈	たくみアカデミーに	その他	
20171119	中日		ＹｏｕKnow中濃？　外国籍生徒向け企業説明会	地元就職の道意識　可茂の６社に働き方聞く　	教育	加茂高校定時制　東濃高校
20171119	岐阜		県高校新人大会	剣道　重量挙げ　成績	行事	
20171119	岐阜		レスリング高校選抜東海予選	加茂農林は初戦敗退	行事	
20171119	中日		ボランティア・スピリット賞	ブロック賞：加茂農林高ダルモ・マイケルさん	ひと	
20171119	中日		「交流が広がる場に」　雑貨店ソレイユ和室を貸し出し		その他	中山道太田宿
20171118	岐阜		迅速にインフラ復旧	中電加茂営業所　災害を想定、訓練	その他	
20171118	岐阜		東京五輪特別仕様ナンバー	コミバスなど24台装着	行政・政治	
20171118	中日		心込めたジェラートいかが	「きらら美濃加茂」に専門店	その他	
20171118	中日		女声と男声軌跡の歌　23日可児で合同コンサート		行事	男声合唱団団長今井巌さん（美濃加茂市）
20171118	中日		和装で散策楽しんで	美濃加茂「華宴」きょうまで	行事	中山道太田宿
20171118	中日		「夕雲の城」の酒で乾杯	きょう発売　富加が舞台の漫画	行事	
20171117	中日		美濃加茂市ソフトボール協会リーグ戦・最終戦	成績	行事	
20171117	岐阜		社説　地域の視点から	みのかもローゼル　住民主導の産地化期待	その他	
20171117	中日		本のリサイクル市	中央図書館	図書館	
20171117	岐阜		全国高校バスケ　組み合わせ抽選	男子　美濃加茂Ｘ天理（奈良）	行事	
20171117	中日		ライフスタイル講座「パタパタトンボを作ろう」	太田宿中山道会館	行事	
20171117	中日		フルートと三味線によるコンサート	中山道太田宿・小松屋	行事	
20171117	岐阜		ちょっと趣味を披露したい人へ　店舗奥、貸します	太田宿の雑貨店、第一弾は絵画展	ビジネス	
20171116	岐阜		美濃加茂市美術展　市展賞５点決まる	入賞、入選作を展示　入賞者の皆さん	文化	みのかも文化の森
20171116	中日		私学教育功労者14人に知事表彰　岐阜で県振興大会	表彰された皆さん	ひと	美濃加茂中学・高校事務長高井俊樹さん
20171116	岐阜		県内上場企業2017年9月中間決算	セブン工業	ビジネス	
20171116	中日		油流出に備えダム湖で訓練	川辺で中部電力加茂電力センター	その他	
20171116	中日		山本順子さんに全国感謝状	美濃加茂　商議所女性会で功労	ひと	
20171116	中日		列車にひかれたのは女性	各務原署	事件・事故	
20171116	中日		ローゼルに親しんで	ハーブの一種　美濃加茂でＰＲ	行事	ローゼル協議会代表長尾久さん
20171115	岐阜		軟式野球　県還暦リーグ戦	結果	行事	
20171115	岐阜		美濃加茂夫刺殺　懲役6年を求刑	岐阜地裁公判	事件・事故	
20171115	岐阜		料理家minokamoが行く　岐阜ごはん旅８	じゅわっと甘い『寒干し大根』	その他	
20171115	岐阜		外国籍生徒に仕事紹介	加茂高定時制東濃高　地元企業が説明会	教育	
20171115	中日		きょうから美濃加茂市美術展	入賞の皆さん	文化	
20171114	中日		美濃加茂軟式野球連盟第23回理事長旗争奪軟式野球大会決勝戦	優勝：山手スターズ　準優勝：太田タイガース	行事	
20171114	中日		県高校柔道新人大会中濃地区予選	成績	行事	
20171114	中日		犬山成田山学童席上揮毫大会特別賞入賞者	岐阜市長賞：日比野真心さん（美濃加茂東中３）	ひと	
20171114	岐阜		愛車のチェック、入念に	県整備振興会　美濃加茂市で無料点検	その他	
20171114	中日		夜の文化祭	加茂高校定時制	教育	照明祭
20171114	岐阜		ラグビー　県社会人・クラブ秋季リーグ第2日	結果	行事	
20171114	中日		いびがわマラソン	女子フル2位　木村あすみさん（美濃加茂）	ひと	
20171114	中日		2017年度美濃加茂市功労者表彰	受賞の皆さん	行政・政治	
20171113	中日	夕刊	坪内逍遙大賞・柴田元幸さん	「すべての翻訳者を代表、受賞」	文化	
20171112	岐阜		美濃加茂市特産品買い物客にぎわう	昭和村で市民まつり	行事	
20171112	中日		第１５回加茂野地区自治会親善グラウンドゴルフ大会	成績	行事	
20171112	岐阜		県中学駅伝	成績	行事	
20171112	中日		母国の言葉教えます	美濃加茂・東中　外国籍生徒が指導	教育	
20171112	岐阜		同窓会だより	加茂高校商業科（昭和39年卒業、美濃加茂市）	その他	
20171111	中日		ＮＨＫ連続ドラマ「半分、青い。」ロケ公開	「東濃の空気や川きれい」　ヒロイン役の永野さん	その他	
20171111	中日		美濃加茂市長の資産公開		行政・政治	
20171111	岐阜		美濃加茂市芸能祭　日本舞踊など披露	子どもら、優雅に舞う	行事	
20171111	岐阜		移動編集局　地方創生　宿場町に新たな伊吹	中山道、アウトドア拠点と相乗効果へ	その他	
20171111	岐阜		県管設備協組が練習用管材贈る	たくみアカデミーに	その他	
20171111	岐阜		来春スタート朝ドラ「半分、青い。」　岩村でロケ公開	ヒロイン役の永野芽郁さん「岐阜弁、難しい」	その他	
20171111	中日		実りの秋を満喫	山手幼稚園	教育	
